	observed_otus
1939.SKBTI.1041.cropped.filtered.nonchimera.fasta	251
1939.SKBTI.0267.cropped.filtered.nonchimera.fasta	143
1939.SKBTI.1015.cropped.filtered.nonchimera.fasta	158
1939.SKBTI.1269.cropped.filtered.nonchimera.fasta	128
1939.SKBTI.0099.cropped.filtered.nonchimera.fasta	141
1939.SKBTI.0256.cropped.filtered.nonchimera.fasta	137
1939.SKBTI068.cropped.filtered.nonchimera.fasta	179
1939.SKBTI.0304.cropped.filtered.nonchimera.fasta	196
1939.SKBTI.0187.cropped.filtered.nonchimera.fasta	143
1939.SKBTI.1074.cropped.filtered.nonchimera.fasta	204
1939.SKBTI.0995.cropped.filtered.nonchimera.fasta	101
1939.SKBTI.1076.cropped.filtered.nonchimera.fasta	122
1939.SKBTI.0979.cropped.filtered.nonchimera.fasta	254
1939.SKBTI.0537.cropped.filtered.nonchimera.fasta	120
1939.SKBTI.1011.cropped.filtered.nonchimera.fasta	114
1939.SKBTI.0254.cropped.filtered.nonchimera.fasta	149
1939.SKBTI.1042.cropped.filtered.nonchimera.fasta	119
1939.SKBTI.1128.cropped.filtered.nonchimera.fasta	161
1939.SKBTI.0744.cropped.filtered.nonchimera.fasta	96
1939.SKBTI.1129.cropped.filtered.nonchimera.fasta	115
1939.SKBTI.1077.cropped.filtered.nonchimera.fasta	162
1939.SKBTI.0999.cropped.filtered.nonchimera.fasta	144
1939.SKBTI.1195.cropped.filtered.nonchimera.fasta	100
1939.SKBTI.1078.cropped.filtered.nonchimera.fasta	169
1939.SKBTI.0546.cropped.filtered.nonchimera.fasta	129
1939.SKBTI.0272.cropped.filtered.nonchimera.fasta	131
1939.SKBTI.0756.cropped.filtered.nonchimera.fasta	74
1939.SKBTI.0156.cropped.filtered.nonchimera.fasta	186
1939.SKBTI.0284.cropped.filtered.nonchimera.fasta	113
1939.SKBTI037.cropped.filtered.nonchimera.fasta	128
1939.SKBTI.1241.cropped.filtered.nonchimera.fasta	125
1939.SKBTI.0631.cropped.filtered.nonchimera.fasta	146
1939.SKBTI.0597.cropped.filtered.nonchimera.fasta	122
1939.SKBTI.0161.cropped.filtered.nonchimera.fasta	157
1939.SKBTI.0589.cropped.filtered.nonchimera.fasta	129
1939.SKBTI.1257.cropped.filtered.nonchimera.fasta	143
1939.SKBTI.0872.cropped.filtered.nonchimera.fasta	146
1939.SKBTI.1009.cropped.filtered.nonchimera.fasta	167
1939.SKBTI.0640.cropped.filtered.nonchimera.fasta	133
1939.SKBTI.1121.cropped.filtered.nonchimera.fasta	91
1939.SKBTI.0705.cropped.filtered.nonchimera.fasta	115
1939.SKBTI.1203.cropped.filtered.nonchimera.fasta	142
1939.SKBTI060.cropped.filtered.nonchimera.fasta	145
1939.SKBTI.0534.cropped.filtered.nonchimera.fasta	111
1939.SKBTI.0732.cropped.filtered.nonchimera.fasta	137
1939.SKBTI.1264.cropped.filtered.nonchimera.fasta	99
1939.SKBTI.1263.cropped.filtered.nonchimera.fasta	111
1939.SKBTI.1100.cropped.filtered.nonchimera.fasta	198
1939.SKBTI.0497.cropped.filtered.nonchimera.fasta	117
1939.SKBTI.0181.cropped.filtered.nonchimera.fasta	138
1939.SKBTI.1251.cropped.filtered.nonchimera.fasta	153
1939.SKBTI.1215.cropped.filtered.nonchimera.fasta	123
1939.SKBTI.0530.cropped.filtered.nonchimera.fasta	119
1939.SKBTI.0223.cropped.filtered.nonchimera.fasta	123
1939.SKBTI.1088.cropped.filtered.nonchimera.fasta	179
1939.SKBTI.0507.cropped.filtered.nonchimera.fasta	124
1939.SKBTI.1007.cropped.filtered.nonchimera.fasta	133
1939.SKBTI.0205.cropped.filtered.nonchimera.fasta	167
1939.SKBTI039.cropped.filtered.nonchimera.fasta	142
1939.SKBTI.0569.cropped.filtered.nonchimera.fasta	104
1939.SKBTI.1065.cropped.filtered.nonchimera.fasta	140
1939.SKBTI.0528.cropped.filtered.nonchimera.fasta	117
1939.SKBTI.1089.cropped.filtered.nonchimera.fasta	177
1939.SKBTI.1152.cropped.filtered.nonchimera.fasta	214
1939.SKBTI.1067.cropped.filtered.nonchimera.fasta	143
1939.SKBTI.0538.cropped.filtered.nonchimera.fasta	118
1939.SKBTI.0301.cropped.filtered.nonchimera.fasta	127
1939.SKBTI.1355.cropped.filtered.nonchimera.fasta	168
1939.SKBTI.0766.cropped.filtered.nonchimera.fasta	123
1939.SKBTI.0924.cropped.filtered.nonchimera.fasta	161
1939.SKBTI.0540.cropped.filtered.nonchimera.fasta	177
1939.SKBTI.0482.cropped.filtered.nonchimera.fasta	139
1939.SKBTI.0533.cropped.filtered.nonchimera.fasta	169
1939.SKBTI.0269.cropped.filtered.nonchimera.fasta	165
1939.SKBTI.1126.cropped.filtered.nonchimera.fasta	255
1939.SKBTI002.cropped.filtered.nonchimera.fasta	157
1939.SKBTI.0127.cropped.filtered.nonchimera.fasta	212
1939.SKBTI073.cropped.filtered.nonchimera.fasta	155
1939.SKBTI.1231.cropped.filtered.nonchimera.fasta	122
1939.SKBTI082.cropped.filtered.nonchimera.fasta	142
1939.SKBTI.1183.cropped.filtered.nonchimera.fasta	110
1939.SKBTI.0531.cropped.filtered.nonchimera.fasta	127
1939.SKBTI.1172.cropped.filtered.nonchimera.fasta	197
1939.SKBTI.0485.cropped.filtered.nonchimera.fasta	152
1939.SKBTI.0102.cropped.filtered.nonchimera.fasta	174
1939.SKBTI.0713.cropped.filtered.nonchimera.fasta	134
1939.SKBTI.1318.cropped.filtered.nonchimera.fasta	140
1939.SKBTI.1012.cropped.filtered.nonchimera.fasta	118
1939.SKBTI.1112.cropped.filtered.nonchimera.fasta	85
1939.SKBTI.1073.cropped.filtered.nonchimera.fasta	133
1939.SKBTI.0114.cropped.filtered.nonchimera.fasta	75
1939.SKBTI.0669.cropped.filtered.nonchimera.fasta	184
1939.SKBTI.1265.cropped.filtered.nonchimera.fasta	121
1939.SKBTI.0391.cropped.filtered.nonchimera.fasta	52
1939.SKBTI041.cropped.filtered.nonchimera.fasta	172
1939.SKBTI.1194.cropped.filtered.nonchimera.fasta	186
1939.SKBTI.1173.cropped.filtered.nonchimera.fasta	53
1939.SKBTI.1145.cropped.filtered.nonchimera.fasta	186
1939.SKBTI.0548.cropped.filtered.nonchimera.fasta	109
1939.SKBTI.0496.cropped.filtered.nonchimera.fasta	139
1939.SKBTI.1079.cropped.filtered.nonchimera.fasta	182
1939.SKBTI.1090.cropped.filtered.nonchimera.fasta	140
1939.SKBTI.0656.cropped.filtered.nonchimera.fasta	84
1939.SKBTI.1167.cropped.filtered.nonchimera.fasta	145
1939.SKBTI.1207.cropped.filtered.nonchimera.fasta	61
1939.SKBTI.1299.cropped.filtered.nonchimera.fasta	107
1939.SKBTI.0491.cropped.filtered.nonchimera.fasta	112
1939.SKBTI.0107.cropped.filtered.nonchimera.fasta	229
1939.SKBTI.1246.cropped.filtered.nonchimera.fasta	140
1939.SKBTI.0515.cropped.filtered.nonchimera.fasta	96
1939.SKBTI.0118.cropped.filtered.nonchimera.fasta	91
1939.SKBTI.1253.cropped.filtered.nonchimera.fasta	124
1939.SKBTI.0977.cropped.filtered.nonchimera.fasta	46
1939.SKBTI.1221.cropped.filtered.nonchimera.fasta	116
1939.SKBTI.0235.cropped.filtered.nonchimera.fasta	124
1939.SKBTI.1202.cropped.filtered.nonchimera.fasta	114
1939.SKBTI.0571.cropped.filtered.nonchimera.fasta	118
1939.SKBTI085.cropped.filtered.nonchimera.fasta	112
1939.SKBTI.1224.cropped.filtered.nonchimera.fasta	94
1939.SKBTI.1109.cropped.filtered.nonchimera.fasta	139
1939.SKBTI.0197.cropped.filtered.nonchimera.fasta	169
1939.SKBTI.0755.cropped.filtered.nonchimera.fasta	101
1939.SKBTI.0529.cropped.filtered.nonchimera.fasta	161
1939.SKBTI.1085.cropped.filtered.nonchimera.fasta	120
1939.SKBTI.0167.cropped.filtered.nonchimera.fasta	128
1939.SKBTI.0643.cropped.filtered.nonchimera.fasta	143
1939.SKBTI.1140.cropped.filtered.nonchimera.fasta	193
1939.SKBTI.0168.cropped.filtered.nonchimera.fasta	86
1939.SKBTI.0257.cropped.filtered.nonchimera.fasta	143
1939.SKBTI.0678.cropped.filtered.nonchimera.fasta	112
1939.SKBTI.0559.cropped.filtered.nonchimera.fasta	138
1939.SKBTI.1114.cropped.filtered.nonchimera.fasta	99
1939.SKBTI.0632.cropped.filtered.nonchimera.fasta	139
1939.SKBTI.1200.cropped.filtered.nonchimera.fasta	131
1939.SKBTI.0757.cropped.filtered.nonchimera.fasta	135
1939.SKBTI.0411.cropped.filtered.nonchimera.fasta	106
1939.SKBTI.0556.cropped.filtered.nonchimera.fasta	161
1939.SKBTI.1211.cropped.filtered.nonchimera.fasta	101
1939.SKBTI.0261.cropped.filtered.nonchimera.fasta	115
1939.SKBTI.1306.cropped.filtered.nonchimera.fasta	80
1939.SKBTI.0108.cropped.filtered.nonchimera.fasta	209
1939.SKBTI.1205.cropped.filtered.nonchimera.fasta	191
1939.SKBTI.0126.cropped.filtered.nonchimera.fasta	117
1939.SKBTI.1259.cropped.filtered.nonchimera.fasta	114
1939.SKBTI.1208.cropped.filtered.nonchimera.fasta	101
1939.SKBTI.1260.cropped.filtered.nonchimera.fasta	117
1939.SKBTI.0488.cropped.filtered.nonchimera.fasta	130
1939.SKBTI.0271.cropped.filtered.nonchimera.fasta	72
1939.SKBTI.0103.cropped.filtered.nonchimera.fasta	60
1939.SKBTI.1276.cropped.filtered.nonchimera.fasta	158
1939.SKBTI.0176.cropped.filtered.nonchimera.fasta	167
1939.SKBTI.0886.cropped.filtered.nonchimera.fasta	162
1939.SKBTI.1043.cropped.filtered.nonchimera.fasta	80
1939.SKBTI.1238.cropped.filtered.nonchimera.fasta	159
1939.SKBTI.0600.cropped.filtered.nonchimera.fasta	176
1939.SKBTI.0664.cropped.filtered.nonchimera.fasta	108
1939.SKBTI.0742.cropped.filtered.nonchimera.fasta	140
1939.SKBTI.1070.cropped.filtered.nonchimera.fasta	166
1939.SKBTI.0654.cropped.filtered.nonchimera.fasta	92
1939.SKBTI.1189.cropped.filtered.nonchimera.fasta	184
1939.SKBTI.0563.cropped.filtered.nonchimera.fasta	230
1939.SKBTI.0516.cropped.filtered.nonchimera.fasta	132
1939.SKBTI.0717.cropped.filtered.nonchimera.fasta	227
1939.SKBTI.1113.cropped.filtered.nonchimera.fasta	54
1939.SKBTI.0561.cropped.filtered.nonchimera.fasta	88
1939.SKBTI.0672.cropped.filtered.nonchimera.fasta	125
1939.SKBTI.1124.cropped.filtered.nonchimera.fasta	108
1939.SKBTI.1118.cropped.filtered.nonchimera.fasta	103
1939.SKBTI.0733.cropped.filtered.nonchimera.fasta	171
1939.SKBTI.0216.cropped.filtered.nonchimera.fasta	150
1939.SKBTI.0575.cropped.filtered.nonchimera.fasta	75
1939.SKBTI004.cropped.filtered.nonchimera.fasta	112
1939.SKBTI.1249.cropped.filtered.nonchimera.fasta	111
1939.SKBTI.0558.cropped.filtered.nonchimera.fasta	143
1939.SKBTI.1230.cropped.filtered.nonchimera.fasta	80
1939.SKBTI.1256.cropped.filtered.nonchimera.fasta	106
1939.SKBTI.1192.cropped.filtered.nonchimera.fasta	118
1939.SKBTI.1237.cropped.filtered.nonchimera.fasta	166
1939.SKBTI.0592.cropped.filtered.nonchimera.fasta	134
1939.SKBTI.0839.cropped.filtered.nonchimera.fasta	124
1939.SKBTI.1166.cropped.filtered.nonchimera.fasta	182
1939.SKBTI.0594.cropped.filtered.nonchimera.fasta	98
1939.SKBTI.0494.cropped.filtered.nonchimera.fasta	151
1939.SKBTI.0650.cropped.filtered.nonchimera.fasta	88
1939.SKBTI.0104.cropped.filtered.nonchimera.fasta	164
1939.SKBTI.0493.cropped.filtered.nonchimera.fasta	119
1939.SKBTI.0169.cropped.filtered.nonchimera.fasta	94
1939.SKBTI.1081.cropped.filtered.nonchimera.fasta	173
1939.SKBTI.1270.cropped.filtered.nonchimera.fasta	97
1939.SKBTI.0665.cropped.filtered.nonchimera.fasta	170
1939.SKBTI.0555.cropped.filtered.nonchimera.fasta	180
1939.SKBTI.0585.cropped.filtered.nonchimera.fasta	120
1939.SKBTI.0552.cropped.filtered.nonchimera.fasta	87
1939.SKBTI.0634.cropped.filtered.nonchimera.fasta	129
1939.SKBTI078.cropped.filtered.nonchimera.fasta	194
1939.SKBTI.0498.cropped.filtered.nonchimera.fasta	92
1939.SKBTI.1285.cropped.filtered.nonchimera.fasta	128
1939.SKBTI.1170.cropped.filtered.nonchimera.fasta	192
1939.SKBTI.1014.cropped.filtered.nonchimera.fasta	140
1939.SKBTI.0707.cropped.filtered.nonchimera.fasta	153
1939.SKBTI.0752.cropped.filtered.nonchimera.fasta	65
1939.SKBTI.0767.cropped.filtered.nonchimera.fasta	146
1939.SKBTI.0892.cropped.filtered.nonchimera.fasta	194
1939.SKBTI055.cropped.filtered.nonchimera.fasta	189
1939.SKBTI.0276.cropped.filtered.nonchimera.fasta	108
1939.SKBTI.0703.cropped.filtered.nonchimera.fasta	69
1939.SKBTI.0621.cropped.filtered.nonchimera.fasta	114
1939.SKBTI.0519.cropped.filtered.nonchimera.fasta	92
1939.SKBTI.0619.cropped.filtered.nonchimera.fasta	126
1939.SKBTI.0605.cropped.filtered.nonchimera.fasta	75
1939.SKBTI.1028.cropped.filtered.nonchimera.fasta	109
1939.SKBTI.0635.cropped.filtered.nonchimera.fasta	185
1939.SKBTI.0652.cropped.filtered.nonchimera.fasta	63
1939.SKBTI.0165.cropped.filtered.nonchimera.fasta	145
1939.SKBTI.1055.cropped.filtered.nonchimera.fasta	77
1939.SKBTI.1303.cropped.filtered.nonchimera.fasta	114
1939.SKBTI.0758.cropped.filtered.nonchimera.fasta	160
1939.SKBTI.0392.cropped.filtered.nonchimera.fasta	127
1939.SKBTI.0532.cropped.filtered.nonchimera.fasta	90
1939.SKBTI.0765.cropped.filtered.nonchimera.fasta	61
1939.SKBTI.0395.cropped.filtered.nonchimera.fasta	93
1939.SKBTI.0682.cropped.filtered.nonchimera.fasta	96
1939.SKBTI.0601.cropped.filtered.nonchimera.fasta	37
1939.SKBTI.0761.cropped.filtered.nonchimera.fasta	132
1939.SKBTI.0659.cropped.filtered.nonchimera.fasta	188
1939.SKBTI.1232.cropped.filtered.nonchimera.fasta	116
1939.SKBTI.1019.cropped.filtered.nonchimera.fasta	170
1939.SKBTI.0590.cropped.filtered.nonchimera.fasta	133
1939.SKBTI.0203.cropped.filtered.nonchimera.fasta	93
1939.SKBTI.1148.cropped.filtered.nonchimera.fasta	120
1939.SKBTI061.cropped.filtered.nonchimera.fasta	152
1939.SKBTI.1186.cropped.filtered.nonchimera.fasta	83
1939.SKBTI.1017.cropped.filtered.nonchimera.fasta	129
1939.SKBTI.0627.cropped.filtered.nonchimera.fasta	214
1939.SKBTI.1064.cropped.filtered.nonchimera.fasta	135
1939.SKBTI.1025.cropped.filtered.nonchimera.fasta	92
1939.SKBTI.1050.cropped.filtered.nonchimera.fasta	129
1939.SKBTI.0734.cropped.filtered.nonchimera.fasta	164
1939.SKBTI.0510.cropped.filtered.nonchimera.fasta	143
1939.SKBTI.0448.cropped.filtered.nonchimera.fasta	124
1939.SKBTI.1026.cropped.filtered.nonchimera.fasta	102
1939.SKBTI.0487.cropped.filtered.nonchimera.fasta	110
1939.SKBTI.1123.cropped.filtered.nonchimera.fasta	182
1939.SKBTI.1031.cropped.filtered.nonchimera.fasta	166
1939.SKBTI032.cropped.filtered.nonchimera.fasta	176
1939.SKBTI.1020.cropped.filtered.nonchimera.fasta	49
1939.SKBTI.0362.cropped.filtered.nonchimera.fasta	82
1939.SKBTI091.cropped.filtered.nonchimera.fasta	134
1939.SKBTI.1214.cropped.filtered.nonchimera.fasta	70
1939.SKBTI.0746.cropped.filtered.nonchimera.fasta	86
1939.SKBTI.0194.cropped.filtered.nonchimera.fasta	87
1939.SKBTI.0708.cropped.filtered.nonchimera.fasta	33
1939.SKBTI.0240.cropped.filtered.nonchimera.fasta	86
1939.SKBTI056.cropped.filtered.nonchimera.fasta	89
1939.SKBTI.0578.cropped.filtered.nonchimera.fasta	80
1939.SKBTI.1171.cropped.filtered.nonchimera.fasta	48
1939.SKBTI.0518.cropped.filtered.nonchimera.fasta	38
1939.SKBTI.1225.cropped.filtered.nonchimera.fasta	114
1939.SKBTI.1228.cropped.filtered.nonchimera.fasta	87
1939.SKBTI.0996.cropped.filtered.nonchimera.fasta	71
1939.SKBTI.0759.cropped.filtered.nonchimera.fasta	78
1939.SKBTI.0583.cropped.filtered.nonchimera.fasta	56
1939.SKBTI.0149.cropped.filtered.nonchimera.fasta	54
1939.SKBTI.0481.cropped.filtered.nonchimera.fasta	77
1939.SKBTI.0113.cropped.filtered.nonchimera.fasta	59
1939.SKBTI.0268.cropped.filtered.nonchimera.fasta	129
1939.SKBTI.0570.cropped.filtered.nonchimera.fasta	149
1939.SKBTI.0542.cropped.filtered.nonchimera.fasta	86
1939.SKBTI031.cropped.filtered.nonchimera.fasta	141
1939.SKBTI.0581.cropped.filtered.nonchimera.fasta	100
1939.SKBTI.0914.cropped.filtered.nonchimera.fasta	112
1939.SKBTI.0543.cropped.filtered.nonchimera.fasta	39
1939.SKBTI.0119.cropped.filtered.nonchimera.fasta	85
1939.SKBTI.0163.cropped.filtered.nonchimera.fasta	115
1939.SKBTI.1175.cropped.filtered.nonchimera.fasta	57
1939.SKBTI.0881.cropped.filtered.nonchimera.fasta	130
1939.SKBTI.1261.cropped.filtered.nonchimera.fasta	83
1939.SKBTI.0579.cropped.filtered.nonchimera.fasta	82
1939.SKBTI.0749.cropped.filtered.nonchimera.fasta	136
1939.SKBTI.1280.cropped.filtered.nonchimera.fasta	88
1939.SKBTI080.cropped.filtered.nonchimera.fasta	127
1939.SKBTI.0721.cropped.filtered.nonchimera.fasta	112
1939.SKBTI.0706.cropped.filtered.nonchimera.fasta	64
1939.SKBTI035.cropped.filtered.nonchimera.fasta	85
1939.SKBTI046.cropped.filtered.nonchimera.fasta	56
1939.SKBTI.0521.cropped.filtered.nonchimera.fasta	60
1939.SKBTI.1091.cropped.filtered.nonchimera.fasta	54
1939.SKBTI.1108.cropped.filtered.nonchimera.fasta	119
1939.SKBTI.1000.cropped.filtered.nonchimera.fasta	128
1939.SKBTI.1075.cropped.filtered.nonchimera.fasta	104
1939.SKBTI.0520.cropped.filtered.nonchimera.fasta	48
1939.SKBTI.0483.cropped.filtered.nonchimera.fasta	48
