	observed_otus
1939.SKBTI.0889.cropped.filtered.nonchimera.fasta	166
1939.SKBTI.0253.cropped.filtered.nonchimera.fasta	155
1939.SKBTI.1331.cropped.filtered.nonchimera.fasta	193
1939.SKBTI067.cropped.filtered.nonchimera.fasta	123
1939.SKBTI.0958.cropped.filtered.nonchimera.fasta	76
1939.SKBTI.1184.cropped.filtered.nonchimera.fasta	159
1939.SKBTI.1072.cropped.filtered.nonchimera.fasta	162
1939.SKBTI.1120.cropped.filtered.nonchimera.fasta	144
1939.SKBTI.0209.cropped.filtered.nonchimera.fasta	126
1939.SKBTI036.cropped.filtered.nonchimera.fasta	172
1939.SKBTI.1284.cropped.filtered.nonchimera.fasta	148
1939.SKBTI.1206.cropped.filtered.nonchimera.fasta	91
1939.SKBTI.0878.cropped.filtered.nonchimera.fasta	125
1939.SKBTI.1084.cropped.filtered.nonchimera.fasta	140
1939.SKBTI.0629.cropped.filtered.nonchimera.fasta	221
1939.SKBTI016.cropped.filtered.nonchimera.fasta	54
1939.SKBTI034.cropped.filtered.nonchimera.fasta	100
1939.SKBTI.0961.cropped.filtered.nonchimera.fasta	92
1939.SKBTI.0503.cropped.filtered.nonchimera.fasta	143
1939.SKBTI093.cropped.filtered.nonchimera.fasta	241
1939.SKBTI003.cropped.filtered.nonchimera.fasta	192
1939.SKBTI081.cropped.filtered.nonchimera.fasta	216
1939.SKBTI033.cropped.filtered.nonchimera.fasta	142
1939.SKBTI.0177.cropped.filtered.nonchimera.fasta	102
1939.SKBTI064.cropped.filtered.nonchimera.fasta	178
1939.SKBTI.1155.cropped.filtered.nonchimera.fasta	99
1939.SKBTI.1245.cropped.filtered.nonchimera.fasta	174
1939.SKBTI.1188.cropped.filtered.nonchimera.fasta	195
1939.SKBTI011.cropped.filtered.nonchimera.fasta	117
1939.SKBTI.0939.cropped.filtered.nonchimera.fasta	85
1939.SKBTI.1333.cropped.filtered.nonchimera.fasta	46
1939.SKBTI.0971.cropped.filtered.nonchimera.fasta	105
1939.SKBTI.1336.cropped.filtered.nonchimera.fasta	105
1939.SKBTI.1062.cropped.filtered.nonchimera.fasta	148
1939.SKBTI.0251.cropped.filtered.nonchimera.fasta	152
1939.SKBTI.1312.cropped.filtered.nonchimera.fasta	121
1939.SKBTI.1349.cropped.filtered.nonchimera.fasta	219
1939.SKBTI.1106.cropped.filtered.nonchimera.fasta	199
1939.SKBTI.0919.cropped.filtered.nonchimera.fasta	87
1939.SKBTI.1147.cropped.filtered.nonchimera.fasta	175
1939.SKBTI.0992.cropped.filtered.nonchimera.fasta	100
1939.SKBTI.0279.cropped.filtered.nonchimera.fasta	120
1939.SKBTI.1339.cropped.filtered.nonchimera.fasta	54
1939.SKBTI.1248.cropped.filtered.nonchimera.fasta	170
1939.SKBTI028.cropped.filtered.nonchimera.fasta	199
1939.SKBTI.0933.cropped.filtered.nonchimera.fasta	93
1939.SKBTI.0523.cropped.filtered.nonchimera.fasta	61
