# Constructed from biom file
#OTU ID	S15	S3	S17	S18	S10	S30	S2	S11	S20	S26	S16	S35	S23	S21	S1	S24	S39	S8	S31	S19	S12	S9	S22	S37	S29	S7	S32	S14	S4	S36	S5	S25	S27	S40	S33	S28	S6	S13
k__Bacteria;p__Actinobacteria;c__Actinobacteria	88.0	101.0	136.0	19.0	25.0	450.0	118.0	12.0	56.0	184.0	26.0	120.0	22.0	3.0	9.0	28.0	62.0	0.0	52.0	155.0	83.0	14.0	4.0	32.0	8.0	8.0	2.0	176.0	128.0	11.0	22.0	9.0	61.0	2.0	9.0	2.0	126.0	26.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	42.0	51.0	214.0	26.0	53.0	57.0	7.0	22.0	22.0	1.0	24.0	42.0	5.0	1.0	6.0	3.0	11.0	29.0	9.0	13.0	6.0	35.0	17.0	18.0	13.0	14.0	121.0	14.0	233.0	14.0	39.0	133.0	7.0	37.0	28.0	34.0	8.0	13.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	7033.0	16005.0	9485.0	21090.0	13257.0	6733.0	2806.0	12011.0	5136.0	3545.0	7663.0	2362.0	4719.0	3645.0	4567.0	4274.0	10096.0	1706.0	12351.0	4889.0	6204.0	10056.0	4502.0	6828.0	2797.0	4302.0	9871.0	7622.0	13418.0	5650.0	9796.0	9241.0	3306.0	9666.0	9029.0	7474.0	1224.0	3259.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	4.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	17.0	0.0	2.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae	0.0	2.0	0.0	0.0	2.0	1.0	3.0	1.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
k__Bacteria;p__Firmicutes;c__Bacilli	8.0	95.0	76.0	29.0	61.0	71.0	97.0	12.0	8.0	60.0	41.0	9.0	3.0	37.0	19.0	28.0	13.0	8.0	116.0	251.0	13.0	24.0	7.0	23.0	33.0	15.0	21.0	52.0	8.0	22.0	8.0	78.0	478.0	15.0	11.0	5.0	186.0	892.0
k__Bacteria;p__Firmicutes;c__Clostridia	5216.0	5883.0	3108.0	1795.0	4063.0	10254.0	6680.0	2714.0	3001.0	6079.0	4055.0	2855.0	1786.0	1755.0	2558.0	3588.0	4327.0	2140.0	479.0	1665.0	9730.0	2290.0	2054.0	5590.0	4879.0	2583.0	2117.0	1494.0	2347.0	4052.0	2378.0	5209.0	3034.0	5269.0	5297.0	7973.0	1758.0	1859.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	58.0	147.0	24.0	594.0	154.0	196.0	278.0	105.0	31.0	128.0	353.0	106.0	34.0	36.0	51.0	30.0	37.0	40.0	41.0	58.0	20.0	123.0	10.0	77.0	26.0	11.0	117.0	165.0	74.0	76.0	18.0	144.0	158.0	122.0	226.0	88.0	112.0	42.0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	17.0	1.0	39.0	2.0	0.0	58.0	60.0	0.0	0.0	2.0	20.0	306.0	2.0	196.0	4.0	0.0	40.0	1.0	12.0	175.0	0.0	5.0	27.0	2.0	26.0	0.0	68.0	5.0	557.0	0.0	0.0	52.0	170.0	2.0	1.0	0.0	48.0	13.0
