# Constructed from biom file
#OTU ID	S15	S3	S17	S18	S10	S30	S2	S11	S20	S26	S16	S35	S23	S21	S1	S24	S39	S8	S31	S19	S12	S9	S22	S37	S29	S7	S32	S14	S4	S36	S5	S25	S27	S40	S33	S28	S6	S13
k__Bacteria;p__Actinobacteria	130.0	152.0	350.0	45.0	78.0	507.0	125.0	34.0	78.0	185.0	50.0	162.0	27.0	4.0	15.0	31.0	73.0	29.0	61.0	168.0	89.0	49.0	21.0	50.0	21.0	22.0	123.0	190.0	361.0	25.0	61.0	142.0	68.0	39.0	37.0	36.0	134.0	39.0
k__Bacteria;p__Bacteroidetes	7033.0	16005.0	9485.0	21092.0	13257.0	6733.0	2806.0	12011.0	5136.0	3545.0	7663.0	2362.0	4719.0	3645.0	4567.0	4275.0	10096.0	1709.0	12351.0	4889.0	6214.0	10056.0	4502.0	6828.0	2797.0	4302.0	9871.0	7622.0	13418.0	5650.0	9796.0	9241.0	3306.0	9666.0	9056.0	7478.0	1224.0	3259.0
k__Bacteria;p__Cyanobacteria	0.0	4.0	0.0	0.0	2.0	1.0	3.0	1.0	25.0	1.0	18.0	0.0	5.0	0.0	0.0	1.0	0.0	17.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
k__Bacteria;p__Firmicutes	5282.0	6125.0	3208.0	2418.0	4278.0	10521.0	7055.0	2831.0	3040.0	6267.0	4449.0	2970.0	1823.0	1828.0	2628.0	3646.0	4377.0	2188.0	636.0	1974.0	9763.0	2437.0	2071.0	5690.0	4938.0	2609.0	2255.0	1711.0	2429.0	4150.0	2404.0	5431.0	3670.0	5406.0	5534.0	8066.0	2056.0	2793.0
k__Bacteria;p__Fusobacteria	17.0	1.0	39.0	2.0	0.0	58.0	60.0	0.0	0.0	2.0	20.0	306.0	2.0	196.0	4.0	0.0	40.0	1.0	12.0	175.0	0.0	5.0	27.0	2.0	26.0	0.0	68.0	5.0	557.0	0.0	0.0	52.0	170.0	2.0	1.0	0.0	48.0	13.0
k__Bacteria;p__Proteobacteria	661.0	1395.0	605.0	3722.0	269.0	1776.0	1129.0	629.0	35.0	1799.0	1290.0	577.0	632.0	1054.0	472.0	2252.0	1154.0	143.0	6656.0	263.0	574.0	462.0	1521.0	472.0	457.0	1063.0	3793.0	7890.0	1281.0	919.0	716.0	1047.0	3451.0	546.0	1659.0	1001.0	6556.0	11316.0
k__Bacteria;p__Spirochaetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6601.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	622.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes	307.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia	678.0	229.0	2.0	0.0	0.0	0.0	1.0	4.0	13.0	0.0	0.0	0.0	797.0	0.0	25.0	4.0	0.0	212.0	31.0	0.0	2131.0	90.0	0.0	0.0	0.0	241.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	156.0
