# Constructed from biom file
#OTU ID	S15	S3	S17	S18	S10	S30	S2	S11	S20	S26	S16	S35	S23	S21	S1	S24	S39	S8	S31	S19	S12	S9	S22	S37	S29	S7	S32	S14	S4	S36	S5	S25	S27	S40	S33	S28	S6	S13
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__	0.0	6.0	6.0	5.0	25.0	25.0	70.0	2.0	1.0	4.0	2.0	2.0	6.0	2.0	2.0	0.0	4.0	0.0	34.0	86.0	8.0	12.0	1.0	4.0	1.0	0.0	0.0	5.0	10.0	6.0	0.0	8.0	18.0	0.0	5.0	0.0	94.0	25.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__mucilaginosa	1.0	8.0	13.0	0.0	0.0	1.0	40.0	0.0	1.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	8.0	25.0	11.0	1.0	0.0	5.0	0.0	0.0	0.0	8.0	0.0	5.0	0.0	1.0	43.0	2.0	4.0	1.0	20.0	1.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	0.0	0.0	94.0	0.0	0.0	371.0	2.0	2.0	47.0	0.0	20.0	0.0	1.0	0.0	7.0	0.0	54.0	0.0	0.0	40.0	5.0	0.0	2.0	0.0	0.0	7.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__adolescentis	0.0	0.0	0.0	10.0	0.0	3.0	6.0	4.0	1.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	44.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	88.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__longum	87.0	83.0	23.0	4.0	0.0	50.0	0.0	4.0	6.0	177.0	3.0	93.0	15.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	15.0	1.0	1.0	23.0	4.0	0.0	2.0	121.0	26.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__;s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	6.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium;s__	0.0	5.0	2.0	2.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	8.0	9.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;Other	31.0	27.0	124.0	0.0	0.0	32.0	1.0	11.0	14.0	0.0	13.0	0.0	3.0	0.0	1.0	0.0	0.0	12.0	0.0	1.0	4.0	10.0	0.0	4.0	5.0	3.0	63.0	4.0	145.0	0.0	17.0	0.0	3.0	24.0	17.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__aerofaciens	11.0	11.0	88.0	0.0	4.0	22.0	0.0	10.0	7.0	0.0	8.0	0.0	2.0	0.0	1.0	0.0	0.0	12.0	1.0	2.0	2.0	13.0	0.0	7.0	1.0	1.0	44.0	10.0	88.0	0.0	5.0	0.0	1.0	8.0	10.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__stercoris	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella;s__lenta	0.0	8.0	0.0	23.0	49.0	0.0	4.0	1.0	1.0	0.0	0.0	10.0	0.0	1.0	2.0	3.0	11.0	1.0	4.0	0.0	0.0	12.0	17.0	7.0	0.0	10.0	14.0	0.0	0.0	14.0	17.0	31.0	0.0	5.0	1.0	34.0	0.0	4.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other;Other;Other	33.0	146.0	867.0	292.0	1.0	511.0	36.0	309.0	605.0	0.0	250.0	442.0	172.0	152.0	19.0	37.0	197.0	81.0	3.0	45.0	646.0	401.0	147.0	37.0	0.0	106.0	96.0	27.0	176.0	201.0	188.0	0.0	0.0	92.0	176.0	58.0	0.0	1.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;Other	2.0	1.0	13.0	1.0	0.0	0.0	12.0	0.0	0.0	0.0	354.0	127.0	0.0	0.0	0.0	33.0	1.0	0.0	280.0	7.0	0.0	1720.0	0.0	777.0	0.0	588.0	70.0	3043.0	22.0	0.0	0.0	0.0	0.0	660.0	527.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	3552.0	3568.0	6683.0	16335.0	11573.0	4485.0	752.0	8581.0	3113.0	3545.0	1413.0	120.0	1991.0	2026.0	2252.0	2203.0	3862.0	1109.0	11286.0	1631.0	3540.0	2627.0	3565.0	4779.0	1903.0	1712.0	3869.0	3422.0	3448.0	2276.0	5878.0	0.0	643.0	5394.0	4513.0	6327.0	1117.0	2266.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	231.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1294.0	0.0	0.0	0.0	416.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	495.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__fragilis	565.0	7461.0	2.0	691.0	0.0	1574.0	307.0	764.0	0.0	0.0	0.0	0.0	1358.0	928.0	103.0	1142.0	2581.0	153.0	1.0	0.0	0.0	396.0	6.0	229.0	286.0	0.0	1607.0	0.0	8237.0	2260.0	0.0	0.0	2229.0	1395.0	286.0	13.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus	42.0	202.0	447.0	89.0	265.0	1.0	126.0	100.0	377.0	0.0	97.0	1221.0	212.0	425.0	66.0	55.0	101.0	25.0	32.0	23.0	598.0	23.0	0.0	478.0	308.0	179.0	566.0	40.0	1182.0	731.0	693.0	3023.0	336.0	453.0	1213.0	509.0	62.0	985.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__plebeius	0.0	0.0	0.0	0.0	0.0	0.0	96.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	512.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
