# Constructed from biom file
#OTU ID	S15	S3	S17	S18	S10	S30	S2	S11	S20	S26	S16	S35	S23	S21	S1	S24	S39	S8	S31	S19	S12	S9	S22	S37	S29	S7	S32	S14	S4	S36	S5	S25	S27	S40	S33	S28	S6	S13
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	1.0	18.0	19.0	5.0	25.0	26.0	110.0	2.0	2.0	7.0	3.0	2.0	6.0	3.0	2.0	28.0	6.0	0.0	42.0	111.0	19.0	13.0	1.0	9.0	1.0	0.0	0.0	14.0	14.0	11.0	0.0	9.0	61.0	2.0	9.0	2.0	126.0	26.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	87.0	83.0	117.0	14.0	0.0	424.0	8.0	10.0	54.0	177.0	23.0	118.0	16.0	0.0	7.0	0.0	56.0	0.0	10.0	44.0	64.0	1.0	3.0	23.0	7.0	8.0	2.0	162.0	114.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	42.0	51.0	214.0	26.0	53.0	57.0	7.0	22.0	22.0	1.0	24.0	42.0	5.0	1.0	6.0	3.0	11.0	29.0	9.0	13.0	6.0	35.0	17.0	18.0	13.0	14.0	121.0	14.0	233.0	14.0	39.0	133.0	7.0	37.0	28.0	34.0	8.0	13.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	7033.0	16005.0	9485.0	21090.0	13257.0	6733.0	2806.0	12011.0	5136.0	3545.0	7663.0	2362.0	4719.0	3645.0	4567.0	4274.0	10096.0	1706.0	12351.0	4889.0	6204.0	10056.0	4502.0	6828.0	2797.0	4302.0	9871.0	7622.0	13418.0	5650.0	9796.0	9241.0	3306.0	9666.0	9029.0	7474.0	1224.0	3259.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	4.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	17.0	0.0	2.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales	0.0	2.0	0.0	0.0	2.0	1.0	3.0	1.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	581.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales	4.0	8.0	18.0	5.0	5.0	3.0	8.0	3.0	0.0	6.0	0.0	2.0	0.0	1.0	2.0	5.0	2.0	0.0	9.0	38.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	4.0	0.0	6.0	6.0	0.0	0.0	0.0	14.0	9.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	4.0	87.0	58.0	24.0	56.0	68.0	89.0	9.0	8.0	54.0	5.0	7.0	3.0	36.0	16.0	23.0	11.0	8.0	92.0	213.0	9.0	24.0	7.0	23.0	33.0	15.0	21.0	36.0	0.0	18.0	8.0	72.0	472.0	15.0	11.0	5.0	113.0	163.0
