	observed_otus
S15	268
S3	182
S17	263
S18	162
S10	179
S30	228
S2	302
S11	182
S20	269
S26	151
S16	331
S35	223
S23	215
S21	176
S1	302
S24	204
S39	189
S8	239
S31	116
S19	247
S12	243
S9	234
S22	187
S37	218
S29	174
S7	191
S32	201
S14	214
S4	113
S36	145
S5	142
S25	127
S27	114
S40	140
S33	161
S28	155
S6	131
S13	122
