	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S1	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S30	S31	S32	S33	S35	S36	S37	S39	S3	S40	S4	S5	S6	S7	S8	S9
M00360	1.2569851179	1.1332295664	1.2763958936	1.2906220108	1.0654218864	1.0526372104	1.1321323079	1.0569490279	1.1026608886	0.9312832029	1.1920019646	1.0853120842	1.2018532174	1.3862273585	1.1390669995	1.0191124542	1.3705872642	1.0984838713	1.0105000971	1.3102576577	1.1519695069	1.2013087185	1.3296076676	1.1832860097	1.0815882029	1.3194059933	1.0663485280	1.1878533900	1.1061269846	1.0904784994	1.0776664852	1.2187356846	1.1565369283	1.4477388415	1.3176557830	1.1671090967	1.3707619814	1.1555006374
M00361	1.6369690332	1.3268441476	1.0887336202	1.3902792100	1.2615607002	0.9782519762	0.9918112221	1.3243377237	1.3168729431	1.0345110773	1.0034479080	1.1610561559	1.0313062819	0	1.2246571501	0.9959777981	1.3575136366	1.0389931658	0.8826847337	0	1.2255336727	0	0	1.5978914315	1.4490628216	1.3279949572	0.9749379629	1.0323906846	1.1725928561	1.1507994126	1.5775782888	1.2312209235	0	0	1.3832649468	1.0594085738	1.3576921986	1.2575826669
M00362	1.5076574154	1.2212626296	1.0129603461	1.4588730563	1.1692258924	0.8511678652	0.9414965092	1.1000186530	1.1965762124	1.1033852602	0.9716304012	1.0988144965	0.8904149220	1.1932123798	1.0792212756	0.8899852996	1.3951844242	0.9229019329	0.9099270703	0.7570582445	1.0383929928	0.9332220618	0.9576035392	1.4581928914	1.4582789716	1.3509351308	0.9067721216	0.9204837608	1.1285937856	1.0943119111	1.4527289445	1.1339386931	1.0705980340	1.2933940875	1.2101023340	1.0704066440	1.3953035757	1.1700494742
M00364	0.4881367810	0.5486871702	0	0.2451290110	0.5113845059	0.3166951841	0.3691229975	0.4100019383	0.5268518411	0.4617976557	0.3124915076	0.4296572424	0.4343504675	0	0.2363841301	0.6165809228	0.4117329568	0.4369110358	0.3079277552	0.5578221904	0	0	0.3645506880	0.6850228980	0.4828582156	0.8729178985	0.4022374667	0	0.4090575324	0.4285592612	0.4658277525	0.4113590535	0.6272735914	0.5044054882	0	0.5508694682	0.4117871145	0.3896431563
M00365	0	0.0276537846	0	0	0.4214093648	0.0345882578	0	0.0373594762	0.1742978864	0	0	0	0	0	0.0403249955	0	0	0.1059212941	0	0	0	0	0	0.4350343163	0.0551946305	0	0.0649712689	0	0	0.0303343820	0.0483323109	0.0451836146	0	0	0.6853706539	0	0	0.0257545818
M00366	0	0	0	0	0.5113845059	0	0	0	0.5268518411	0	0	0	0	0	0	0	0	0.4369110358	0	0	0	0	0	0.6850228980	0	0	0	0	0	0	0.4658277525	0	0	0	0	0	0	0
M00374	0	0	0	0	0.5561756476	0.2553718185	0	0	0	0	0	0	0	0	0	0	0	0.4238060287	0	0	0	0	0	0.6888389456	0.5183924873	0	0.3560786727	0	0	0	0.4187097376	0	0	0	0	0	0	0.3773100457
M00375	0.5390598311	0.5333932406	0.4379201992	0.6361249195	0.5338976413	0.2760646343	0.4320466118	0.5241334538	0.5747507345	0.3797140015	0.5105937363	0.4391255007	0.4755533906	0.6058423032	0.4650404941	0.5947187993	0.4294149224	0.6047816579	0.5101965118	0.5717185791	0.4220919795	0.5065076106	0.4081583336	0.6098934737	0.5614870937	0.6383012713	0.4907534387	0.6244648094	0.4857655691	0.5041253049	0.5404244848	0.5027618436	0.4472882277	0.6954075696	0.6699645386	0.4314810176	0.4294873031	0.5066455665
M00376	0	0	0	0	0.4968709368	0.3573894047	0	0.5967816537	0.6463091348	0	0	0.5102783264	0	0	0.5445077227	0	0	0.5628356488	0	0	0	0	0	0.6894852351	0.5890948519	0	0.5240774853	0	0	0.5992407185	0.6113891683	0	0	0	0	0	0	0
M00377	0.6016357512	0.6809892478	0.6977720813	0.6456809148	0.7874603245	0.5418606493	0.6853107520	0.6862013979	0.7982850695	1.0382000394	0.7127216305	0.6578182459	0.6232991294	0.8325030855	0.7910850722	0.7134482003	0.8436093140	0.6936977173	0.5398766541	0.5778907158	0.4801054760	0.7426773674	0.5338749245	0.7347192147	0.6778402359	0.6719993633	0.6602140734	0.5230615793	0.7436116384	0.6675840063	0.7292907904	0.6946686891	0.4850318623	0.3625298802	0.4544684332	0.6082926146	0.8437202791	0.6328278782
UNINTEGRATED	217.2525768548	219.7183630970	172.0515463617	290.4448637896	270.8931847160	140.9571232415	172.5980648203	190.9843233880	247.0084713651	128.6410135671	171.8308911959	183.3594508066	200.1603770752	199.8721236237	173.2851426632	191.3470591682	214.4558432088	237.5789397354	127.6536813962	155.5317207395	139.3407257947	141.8786210755	146.8016628441	322.3205493576	237.2219557313	204.1537587425	199.6439311392	190.3412879028	184.5963953022	197.7916483268	222.5091034767	186.3226925853	191.6995503109	206.4808171606	266.1295683580	185.6420217945	214.4648355859	196.3419668144
UNMAPPED	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
