	S12	S10	S11	S1	S28	S8	S20	S15	S39	S27	S21	S3	S32	S14	S9	S25	S33	S34	S4	S40	S37	S19	S30	S22	S26	S16	S2	S36	S7	S6	S17	S5	S35	S38	S23	S18	S24	S31	S29	S13
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	0.52253	0	0	1.2458	0	0	1.68717	2.92225	0	0	0	0	0	0	1.00483	0	0	0	0	0	2.2906	0	0	0	2.7517	1.15679	0.48593	0	0	0	1.77572	0	2.1982	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	0	0	0	0	0.37636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	0	7.82689	15.4739	0	0	14.0075	2.99627	3.17836	13.23482	0	0	19.39139	2.16528	2.69988	5.53734	14.0075	0	0	13.94305	16.98165	15.16144	0	0	0	16.17654	1.75985	0	18.32561	0	0	9.6579	19.17131	7.77556	0	0	3.4621	5.65819	0.86934	31.47545	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	1.45455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97506	0	0	0	0	0.5482	0	0	0	0	4.08391	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	0	0	0	0.71295	1.91613	0	0.79405	0.23607	0	0	0	0	0.78533	0	0.6728	0	0	0	0	0	0	0	1.88895	0	0	1.38094	0.7832	3.04604	1.27105	0	0	0	0.25208	0	0	0	6.01787	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	0	0	0.72847	0	0.3467	5.37719	1.39299	2.74001	0	0	0	1.13487	0.5787	0.31298	0	5.37719	2.1595	0	0	3.5052	10.88242	0	0	0	1.72285	0	0	5.30745	0	0	1.34672	0	1.31721	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	1.77162	0	0	4.45866	0	0	0.41909	0.77231	1.24365	0	0	0	0	0.16735	0	0	0	0	0	0	0.45874	0	0	0	0	3.28039	0	0	0	0	0.14372	0	2.43971	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	0	0	0	0	0	0	0	0	0	0	0	0.39417	0	0	0.40721	0	0	0	0	0.3465	0	0	0	0	0	0.17643	0	0	0	0	0.66765	2.85929	0	0	0	1.32855	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname	0	0	0	0	0	0	0	0	0	1.70261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74713	0	0	0	0	0	0	0	0.05931	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	18.99127	0.36908	2.64628	30.09728	45.46086	3.01722	15.9309	8.46041	9.04455	20.30084	36.91147	0.20256	10.62438	1.74506	3.68194	3.01722	20.39745	0	1.33081	10.97273	17.9	11.73565	54.06877	18.35379	2.60153	24.00567	3.49169	12.45594	11.39078	0	9.44224	0	23.12502	0	4.77889	0.61758	5.64929	0	39.71858	0.36406
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	0	0	0	0	0	0	0	0.18771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.49544	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	2.21268	4.09348	2.03374	5.40396	0	9.42096	7.8285	11.4326	5.44887	0	0	2.07428	0.66759	0.15663	2.7316	9.42096	0	0	0	0	4.0902	3.88866	7.21667	0	1.66944	7.05368	0	2.57967	4.96818	0	1.41828	0	3.29927	0	4.58842	2.13484	3.09054	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72717	0	0	0	0	0	0	0	0	0	0	0	0	0	0
