	S12	S10	S11	S1	S28	S8	S20	S15	S39	S27	S21	S3	S32	S14	S9	S25	S33	S34	S4	S40	S37	S19	S30	S22	S26	S16	S2	S36	S7	S6	S17	S5	S35	S38	S23	S18	S24	S31	S29	S13
k__Archaea|p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33613	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria	0	0	0	0	0	0	0	1.05886	1.19691	0	0	0.35209	0.40517	0.88558	0	0	0	0	0	0	0	0	0	0	1.18645	0.27192	0	0	0	0	0.65285	0	2.7602	0	0	0.04197	0	0	0	0
k__Bacteria|p__Bacteroidetes	43.94106	87.71054	74.93503	55.26164	41.37577	59.96239	68.95102	59.57263	62.08318	24.85247	45.87821	68.42324	61.12155	29.80785	84.64779	59.96239	47.14508	0	78.40539	61.66912	46.19366	7.85377	27.65529	33.19057	32.63216	50.75355	0.8467	45.3089	61.18123	6.51548	67.07818	66.44927	47.06205	0	24.60219	67.8786	35.73423	35.34563	22.38713	14.57536
k__Bacteria|p__Firmicutes	24.95265	12.28946	21.86961	41.91866	48.10004	33.519	31.04898	31.20408	32.3662	46.65523	39.02844	23.37287	14.82128	5.09365	14.84003	33.519	22.55695	0	15.90775	38.33088	53.62305	15.62431	63.17439	21.36881	52.73905	44.24747	5.93091	47.86594	18.5205	0	29.14233	25.73145	46.09411	0	9.36731	7.54306	20.41588	1.53971	71.19403	1.56186
k__Bacteria|p__Proteobacteria	4.62387	0	3.19536	2.8197	10.52418	6.51861	0	0	4.35371	28.4923	15.09335	6.83131	23.652	62.7155	0.51218	6.51861	27.08953	0	5.68686	0	0.18328	0	6.07806	18.89318	13.44234	2.782	1.60499	6.82516	16.43071	93.48452	2.54825	7.81928	4.08364	0	5.76361	24.00505	43.84989	63.11466	6.41884	81.44633
k__Bacteria|p__Spirochaetes	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44927	0	0	0	0	0	0	0	47.60867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia	26.48242	0	0	0	0	0	0	8.16444	0	0	0	1.02049	0	0.04815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.86756	0	0	0	0	0	9.07288	0	0	0	0	0
k__Viruses|p__Viruses_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.20844	0	0	0	0	28.91325	3.09225	26.54744	0	1.60894	91.61741	0	0	0	0.57839	0	0	0	51.19402	0.53132	0	0	0	2.41645
