	S12	S10	S11	S1	S28	S8	S20	S15	S39	S27	S21	S3	S32	S14	S9	S25	S33	S34	S4	S40	S37	S19	S30	S22	S26	S16	S2	S36	S7	S6	S17	S5	S35	S38	S23	S18	S24	S31	S29	S13
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0	0	4.25159	0.50859	0	0	0	3.81389	14.8018	19.3515	12.85612	33.78106	9.46154	0	2.50884	0	0	0	50.38747	6.31893	0.55819	0	5.6812	0	0	0	0.13644	15.86482	0	0	0	0	0	0	6.19016	1.37374	11.39162	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	0	0	0	0	0	0	0	12.40265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis	0	0	0	18.02959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.18645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.6756	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii	2.04074	0	0	0	0	0	0	0	0.27662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	1.71295	0	0.59497	0	3.3492	15.46096	3.97745	0.17808	0.2587	1.03269	0.35377	0.31652	0	0.07856	0.07697	15.46096	2.09312	0	7.2661	1.9579	3.34089	0	0	0	0	0.64008	0	6.63278	1.74643	0	2.40524	1.9329	15.90672	0	0.77268	0.20534	0.67235	0	0	2.64693
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius	0	0	0	1.41077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_1_1_6	0	0	0	0	0	0	0	0	0	0	0	12.11102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92643	5.41376	0	0	0	7.38734	0	0	0	0	0	0	0.17075	0	0	0	0	3.82416	0	0	0	0	7.34739	0	1.64017	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	0	10.56433	10.55346	9.28804	4.31655	0	0	4.68338	3.94234	0	0	0	3.00951	0.87642	2.40982	0	3.69766	0	0	6.15156	4.25598	0	0	0.19893	0	0	0	0	12.04132	0	1.37119	7.2726	0	0	0.57562	0	0	2.75721	7.50065	11.92843
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	11.85923	5.27373	7.27474	0	0	0	10.06439	5.43315	0.33641	0	0.09815	11.28139	6.95394	0.15694	5.43149	0	0	0	0.63241	0.06402	7.58673	0	1.05967	0.53963	0	13.17962	0	5.42666	0	0	9.39887	0	8.48236	0	2.3951	1.58636	1.01767	5.16805	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	9.55396	15.5253	0	9.01252	0	0	23.52798	9.34512	12.3801	4.46828	0	0	4.82986	1.78953	13.12101	0	0	0	12.73206	20.72305	18.48934	0.27125	20.91442	7.08174	32.63216	4.87352	0.48747	0	2.71469	6.51548	20.27263	32.19075	19.19866	0	8.94725	7.8286	14.04305	1.37438	6.17544	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	0	0	0	0	0	0	0	0	0.09358	0	0	0	1.84488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99463	0	0	0	0
